"Query","Match","HMDB","PubChem","KEGG","Comment","pathway"
"Phenylalanine","L-Phenylalanine","HMDB0000159","6140","C00079","1","Phenylalanine and Tyrosine Metabolism"
"Choline","Choline","HMDB0000097","305","C00114","1","Phospholipid Biosynthesis"
"Glycerylphosphorylethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","22833510","C01233","1","Phospholipid Biosynthesis"
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","C00111","1","Phospholipid Biosynthesis"
"Octadecanoic acid","Stearic acid","HMDB0000827","5281","C01530","1","Plasmalogen Synthesis"
"Bilirubin","Bilirubin","HMDB0000054","5280352","C00486","1","Porphyrin Metabolism"
"Valine","L-Valine","HMDB0000883","6287","C00183","1","Propanoate Metabolism"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","1","Purine Metabolism"
"Uric acid","Uric acid","HMDB0000289","1175","C00366","1","Purine Metabolism"
"5-Phosphoribosylamine","5-Phosphoribosylamine","HMDB0001128","439905","C03090","1","Purine Metabolism"
"Guanine","Guanine","HMDB0000132","764","C00242","1","Purine Metabolism"
"Lactate","L-Lactic acid","HMDB0000190","107689","C00186","1","Pyruvate Metabolism"
"Sphingosine 1-phosphate","Sphingosine 1-phosphate","HMDB0000277","5353956","C06124","1","Sphingolipid Metabolism"
"Sphingosine","Sphingosine","HMDB0000252","5353955","C00319","1","Sphingolipid Metabolism"
"Cholesterol","Cholesterol","HMDB0000067","11025495","C00187","1","Steroid Biosynthesis"
"Isopentenyl pyrophosphate","Isopentenyl pyrophosphate","HMDB0001347","1195","C00129","1","Steroid Biosynthesis"
"Progesterone","Progesterone","HMDB0001830","5994","C00410","1","Steroidogenesis"
"18-Hydroxycorticosterone","18-Hydroxycorticosterone","HMDB0000319","11222","C01124","1","Steroidogenesis"
"Hypotaurine","Hypotaurine","HMDB0000965","107812","C00519","1","Taurine and Hypotaurine Metabolism"
"Thiamine","Thiamine","HMDB0000235","1130","C00378","1","Thiamine Metabolism"
"Lysine","L-Lysine","HMDB0000182","5962","C00047","1","Transcription/Translation"
"L-Lysine","L-Lysine","HMDB0000182","5962","C00047","1","Transcription/Translation"
"Proline","L-Proline","HMDB0000162","145742","C00148","1","Transcription/Translation"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","1","Transcription/Translation"
"L-Leucine","L-Leucine","HMDB0000687","6106","C00123","1","Transcription/Translation"
"5-Hydroxy-tryptophan","5-Hydroxy-L-tryptophan","HMDB0000472","144","C01017","1","Tryptophan Metabolism"
"5-Hydroxyindoleacetic acid","5-Hydroxyindoleacetic acid","HMDB0000763","1826","C05635","1","Tryptophan Metabolism"
"1H-Indole-3-acetic acid","Indoleacetic acid","HMDB0000197","802","C00954","1","Tryptophan Metabolism"
"Anthranilic acid","2-Aminobenzoic acid","HMDB0001123","227","C00108","1","Tryptophan Metabolism"
"Epinephrine","Epinephrine","HMDB0000068","5816","C00788","1","Tyrosine Metabolism"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","1","Tyrosine Metabolism"
"2-oxo-4-methylvaleric acid","Ketoleucine","HMDB0000695","70","C00233","1","Valine, Leucine and Isoleucine Degradation"
"3-methyl-2-oxo-butanoic acid","Alpha-ketoisovaleric acid","HMDB0000019","49","C00141","1","Valine, Leucine and Isoleucine Degradation"
